Date : 2025-10-13 14:36:47
Directory : e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum
Total : 88 files,  12244 codes, 1356 comments, 1746 blanks, all 15346 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Dart           |         63 |     10,627 |      1,134 |      1,417 |     13,178 |
| Markdown       |          4 |        707 |          0 |        216 |        923 |
| JSON           |          5 |        314 |          0 |          5 |        319 |
| YAML           |          3 |        184 |         27 |         13 |        224 |
| Firebase Rules |          2 |        179 |        153 |         62 |        394 |
| Gradle         |          3 |        119 |          0 |         20 |        139 |
| XML            |          5 |         64 |         26 |          8 |         98 |
| HTML           |          1 |         38 |         16 |          5 |         59 |
| Properties     |          2 |         12 |          0 |          0 |         12 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |         88 |     12,244 |      1,356 |      1,746 |     15,346 |
| . (Files)                                                                                                                       |         11 |      1,213 |        180 |        292 |      1,685 |
| android                                                                                                                         |         10 |        195 |         26 |         28 |        249 |
| android (Files)                                                                                                                 |          3 |         56 |          0 |          8 |         64 |
| android\app                                                                                                                     |          6 |        134 |         26 |         20 |        180 |
| android\app (Files)                                                                                                             |          1 |         70 |          0 |         12 |         82 |
| android\app\src                                                                                                                 |          5 |         64 |         26 |          8 |         98 |
| android\app\src\main                                                                                                            |          5 |         64 |         26 |          8 |         98 |
| android\app\src\main (Files)                                                                                                    |          1 |         31 |          6 |          5 |         42 |
| android\app\src\main\res                                                                                                        |          4 |         33 |         20 |          3 |         56 |
| android\app\src\main\res\drawable                                                                                               |          1 |          9 |          2 |          1 |         12 |
| android\app\src\main\res\values                                                                                                 |          2 |         15 |          9 |          1 |         25 |
| android\app\src\main\res\values-night                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\gradle                                                                                                                  |          1 |          5 |          0 |          0 |          5 |
| android\gradle\wrapper                                                                                                          |          1 |          5 |          0 |          0 |          5 |
| lib                                                                                                                             |         64 |     10,763 |      1,134 |      1,420 |     13,317 |
| lib (Files)                                                                                                                     |          1 |         40 |          4 |          9 |         53 |
| lib\core                                                                                                                        |         12 |      1,011 |        232 |        224 |      1,467 |
| lib\core\constants                                                                                                              |          2 |         97 |         19 |         16 |        132 |
| lib\core\errors                                                                                                                 |          2 |        210 |        101 |         72 |        383 |
| lib\core\network                                                                                                                |          2 |         69 |         13 |         18 |        100 |
| lib\core\routing                                                                                                                |          1 |         72 |          5 |         13 |         90 |
| lib\core\theme                                                                                                                  |          2 |        239 |         26 |         30 |        295 |
| lib\core\utils                                                                                                                  |          3 |        324 |         68 |         75 |        467 |
| lib\features                                                                                                                    |         38 |      8,732 |        530 |        893 |     10,155 |
| lib\features\auth                                                                                                               |         16 |      2,169 |        186 |        268 |      2,623 |
| lib\features\auth\data                                                                                                          |          4 |        462 |         59 |         76 |        597 |
| lib\features\auth\data\datasources                                                                                              |          2 |        268 |         47 |         58 |        373 |
| lib\features\auth\data\models                                                                                                   |          1 |         77 |          9 |          7 |         93 |
| lib\features\auth\data\repositories                                                                                             |          1 |        117 |          3 |         11 |        131 |
| lib\features\auth\domain                                                                                                        |          3 |         90 |         26 |         27 |        143 |
| lib\features\auth\domain\entities                                                                                               |          1 |         37 |          3 |          5 |         45 |
| lib\features\auth\domain\repositories                                                                                           |          1 |         15 |         17 |          7 |         39 |
| lib\features\auth\domain\usecases                                                                                               |          1 |         38 |          6 |         15 |         59 |
| lib\features\auth\presentation                                                                                                  |          9 |      1,617 |        101 |        165 |      1,883 |
| lib\features\auth\presentation\providers                                                                                        |          1 |         43 |         24 |         13 |         80 |
| lib\features\auth\presentation\screens                                                                                          |          5 |      1,227 |         67 |        119 |      1,413 |
| lib\features\auth\presentation\widgets                                                                                          |          3 |        347 |         10 |         33 |        390 |
| lib\features\habits                                                                                                             |         19 |      5,732 |        321 |        572 |      6,625 |
| lib\features\habits\data                                                                                                        |          4 |        711 |         60 |        112 |        883 |
| lib\features\habits\data\datasources                                                                                            |          1 |        192 |         29 |         39 |        260 |
| lib\features\habits\data\models                                                                                                 |          2 |        218 |         10 |         15 |        243 |
| lib\features\habits\data\repositories                                                                                           |          1 |        301 |         21 |         58 |        380 |
| lib\features\habits\domain                                                                                                      |          4 |        464 |         78 |        102 |        644 |
| lib\features\habits\domain\entities                                                                                             |          2 |        297 |         17 |         27 |        341 |
| lib\features\habits\domain\repositories                                                                                         |          1 |         33 |         33 |         23 |         89 |
| lib\features\habits\domain\usecases                                                                                             |          1 |        134 |         28 |         52 |        214 |
| lib\features\habits\presentation                                                                                                |         11 |      4,557 |        183 |        358 |      5,098 |
| lib\features\habits\presentation\providers                                                                                      |          1 |        203 |         36 |         45 |        284 |
| lib\features\habits\presentation\screens                                                                                        |          5 |      2,853 |         93 |        208 |      3,154 |
| lib\features\habits\presentation\widgets                                                                                        |          5 |      1,501 |         54 |        105 |      1,660 |
| lib\features\profile                                                                                                            |          1 |        298 |         13 |         19 |        330 |
