Date : 2025-10-13 17:05:58
Directory : e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum
Total : 137 files,  20096 codes, 1806 comments, 2767 blanks, all 24669 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Dart           |        112 |     18,471 |      1,584 |      2,438 |     22,493 |
| Markdown       |          4 |        707 |          0 |        216 |        923 |
| JSON           |          5 |        314 |          0 |          5 |        319 |
| YAML           |          3 |        192 |         27 |         13 |        232 |
| Firebase Rules |          2 |        179 |        153 |         62 |        394 |
| Gradle         |          3 |        119 |          0 |         20 |        139 |
| XML            |          5 |         64 |         26 |          8 |         98 |
| HTML           |          1 |         38 |         16 |          5 |         59 |
| Properties     |          2 |         12 |          0 |          0 |         12 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |        137 |     20,096 |      1,806 |      2,767 |     24,669 |
| . (Files)                                                                                                                                  |         11 |      1,221 |        180 |        292 |      1,693 |
| android                                                                                                                                    |         10 |        195 |         26 |         28 |        249 |
| android (Files)                                                                                                                            |          3 |         56 |          0 |          8 |         64 |
| android\app                                                                                                                                |          6 |        134 |         26 |         20 |        180 |
| android\app (Files)                                                                                                                        |          1 |         70 |          0 |         12 |         82 |
| android\app\src                                                                                                                            |          5 |         64 |         26 |          8 |         98 |
| android\app\src\main                                                                                                                       |          5 |         64 |         26 |          8 |         98 |
| android\app\src\main (Files)                                                                                                               |          1 |         31 |          6 |          5 |         42 |
| android\app\src\main\res                                                                                                                   |          4 |         33 |         20 |          3 |         56 |
| android\app\src\main\res\drawable                                                                                                          |          1 |          9 |          2 |          1 |         12 |
| android\app\src\main\res\values                                                                                                            |          2 |         15 |          9 |          1 |         25 |
| android\app\src\main\res\values-night                                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\gradle                                                                                                                             |          1 |          5 |          0 |          0 |          5 |
| android\gradle\wrapper                                                                                                                     |          1 |          5 |          0 |          0 |          5 |
| lib                                                                                                                                        |        113 |     18,607 |      1,584 |      2,441 |     22,632 |
| lib (Files)                                                                                                                                |          1 |         64 |          9 |         17 |         90 |
| lib\core                                                                                                                                   |         22 |      2,523 |        346 |        524 |      3,393 |
| lib\core\constants                                                                                                                         |          2 |         97 |         19 |         18 |        134 |
| lib\core\errors                                                                                                                            |          2 |        207 |        101 |         72 |        380 |
| lib\core\network                                                                                                                           |          2 |         69 |         13 |         18 |        100 |
| lib\core\routing                                                                                                                           |          1 |         72 |          5 |         14 |         91 |
| lib\core\services                                                                                                                          |          8 |      1,172 |        110 |        258 |      1,540 |
| lib\core\theme                                                                                                                             |          2 |        239 |         26 |         32 |        297 |
| lib\core\utils                                                                                                                             |          3 |        326 |         68 |         78 |        472 |
| lib\core\widgets                                                                                                                           |          2 |        341 |          4 |         34 |        379 |
| lib\features                                                                                                                               |         77 |     15,035 |        861 |      1,607 |     17,503 |
| lib\features\achievements                                                                                                                  |          6 |        676 |         38 |         84 |        798 |
| lib\features\achievements\data                                                                                                             |          2 |        229 |         19 |         33 |        281 |
| lib\features\achievements\data\models                                                                                                      |          1 |         58 |          5 |          7 |         70 |
| lib\features\achievements\data\services                                                                                                    |          1 |        171 |         14 |         26 |        211 |
| lib\features\achievements\domain                                                                                                           |          1 |        115 |          3 |         10 |        128 |
| lib\features\achievements\domain\entities                                                                                                  |          1 |        115 |          3 |         10 |        128 |
| lib\features\achievements\presentation                                                                                                     |          3 |        332 |         16 |         41 |        389 |
| lib\features\achievements\presentation\providers                                                                                           |          1 |         95 |          9 |         16 |        120 |
| lib\features\achievements\presentation\widgets                                                                                             |          2 |        237 |          7 |         25 |        269 |
| lib\features\auth                                                                                                                          |         16 |      2,185 |        186 |        270 |      2,641 |
| lib\features\auth\data                                                                                                                     |          4 |        456 |         59 |         77 |        592 |
| lib\features\auth\data\datasources                                                                                                         |          2 |        262 |         47 |         58 |        367 |
| lib\features\auth\data\models                                                                                                              |          1 |         77 |          9 |          8 |         94 |
| lib\features\auth\data\repositories                                                                                                        |          1 |        117 |          3 |         11 |        131 |
| lib\features\auth\domain                                                                                                                   |          3 |         90 |         26 |         24 |        140 |
| lib\features\auth\domain\entities                                                                                                          |          1 |         37 |          3 |          5 |         45 |
| lib\features\auth\domain\repositories                                                                                                      |          1 |         15 |         17 |          8 |         40 |
| lib\features\auth\domain\usecases                                                                                                          |          1 |         38 |          6 |         11 |         55 |
| lib\features\auth\presentation                                                                                                             |          9 |      1,639 |        101 |        169 |      1,909 |
| lib\features\auth\presentation\providers                                                                                                   |          1 |         44 |         24 |         14 |         82 |
| lib\features\auth\presentation\screens                                                                                                     |          5 |      1,240 |         67 |        122 |      1,429 |
| lib\features\auth\presentation\widgets                                                                                                     |          3 |        355 |         10 |         33 |        398 |
| lib\features\goals                                                                                                                         |          6 |        659 |         38 |         85 |        782 |
| lib\features\goals\data                                                                                                                    |          2 |        307 |          8 |         41 |        356 |
| lib\features\goals\data\models                                                                                                             |          1 |        123 |          5 |         10 |        138 |
| lib\features\goals\data\repositories                                                                                                       |          1 |        184 |          3 |         31 |        218 |
| lib\features\goals\domain                                                                                                                  |          2 |        106 |         17 |         19 |        142 |
| lib\features\goals\domain\entities                                                                                                         |          1 |         92 |          6 |          8 |        106 |
| lib\features\goals\domain\repositories                                                                                                     |          1 |         14 |         11 |         11 |         36 |
| lib\features\goals\presentation                                                                                                            |          2 |        246 |         13 |         25 |        284 |
| lib\features\goals\presentation\providers                                                                                                  |          1 |         35 |         10 |         12 |         57 |
| lib\features\goals\presentation\widgets                                                                                                    |          1 |        211 |          3 |         13 |        227 |
| lib\features\habits                                                                                                                        |         32 |      9,257 |        492 |        904 |     10,653 |
| lib\features\habits\data                                                                                                                   |          6 |      1,197 |         98 |        188 |      1,483 |
| lib\features\habits\data\datasources                                                                                                       |          1 |        239 |         30 |         45 |        314 |
| lib\features\habits\data\models                                                                                                            |          3 |        277 |         15 |         24 |        316 |
| lib\features\habits\data\repositories                                                                                                      |          2 |        681 |         53 |        119 |        853 |
| lib\features\habits\domain                                                                                                                 |          5 |        564 |         96 |        102 |        762 |
| lib\features\habits\domain\entities                                                                                                        |          3 |        381 |         29 |         37 |        447 |
| lib\features\habits\domain\repositories                                                                                                    |          1 |         49 |         39 |         28 |        116 |
| lib\features\habits\domain\usecases                                                                                                        |          1 |        134 |         28 |         37 |        199 |
| lib\features\habits\presentation                                                                                                           |         21 |      7,496 |        298 |        614 |      8,408 |
| lib\features\habits\presentation\providers                                                                                                 |          1 |        290 |         41 |         55 |        386 |
| lib\features\habits\presentation\screens                                                                                                   |          6 |      3,874 |        142 |        314 |      4,330 |
| lib\features\habits\presentation\widgets                                                                                                   |         14 |      3,332 |        115 |        245 |      3,692 |
| lib\features\profile                                                                                                                       |          1 |        422 |         14 |         24 |        460 |
| lib\features\profile\presentation                                                                                                          |          1 |        422 |         14 |         24 |        460 |
| lib\features\profile\presentation\screens                                                                                                  |          1 |        422 |         14 |         24 |        460 |
| lib\features\social                                                                                                                        |         15 |      1,375 |         85 |        209 |      1,669 |
| lib\features\social\data                                                                                                                   |          5 |        502 |         36 |         93 |        631 |
| lib\features\social\data\models                                                                                                            |          2 |        123 |         10 |         14 |        147 |
| lib\features\social\data\repositories                                                                                                      |          3 |        379 |         26 |         79 |        484 |
| lib\features\social\domain                                                                                                                 |          4 |        134 |         20 |         24 |        178 |
| lib\features\social\domain\entities                                                                                                        |          2 |        107 |          3 |          7 |        117 |
| lib\features\social\domain\repositories                                                                                                    |          2 |         27 |         17 |         17 |         61 |
| lib\features\social\presentation                                                                                                           |          6 |        739 |         29 |         92 |        860 |
| lib\features\social\presentation\providers                                                                                                 |          1 |         67 |         21 |         25 |        113 |
| lib\features\social\presentation\screens                                                                                                   |          1 |        279 |          1 |         31 |        311 |
| lib\features\social\presentation\widgets                                                                                                   |          4 |        393 |          7 |         36 |        436 |
| lib\features\statistics                                                                                                                    |          1 |        461 |          8 |         31 |        500 |
| lib\features\statistics\presentation                                                                                                       |          1 |        461 |          8 |         31 |        500 |
| lib\features\statistics\presentation\screens                                                                                               |          1 |        461 |          8 |         31 |        500 |
| lib\generated                                                                                                                              |          3 |        115 |         28 |         32 |        175 |
| lib\generated (Files)                                                                                                                      |          1 |         60 |          8 |         15 |         83 |
| lib\generated\intl                                                                                                                         |          2 |         55 |         20 |         17 |         92 |
| lib\l10n                                                                                                                                   |          5 |        525 |        330 |        221 |      1,076 |
| lib\shared                                                                                                                                 |          5 |        345 |         10 |         40 |        395 |
| lib\shared\models                                                                                                                          |          1 |         21 |          4 |         10 |         35 |
| lib\shared\widgets                                                                                                                         |          4 |        324 |          6 |         30 |        360 |
| test                                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| web                                                                                                                                        |          2 |         73 |         16 |          5 |         94 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                   | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\ASSETS_GUIDE.md                                                                 | Markdown       |        160 |          0 |         59 |        219 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\BUILD_IMPROVEMENTS.md                                                           | Markdown       |        142 |          0 |         49 |        191 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\FIREBASE_RULES.md                                                               | Markdown       |        209 |          0 |         55 |        264 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\README.md                                                                       | Markdown       |        196 |          0 |         53 |        249 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\analysis_options.yaml                                                           | YAML           |        132 |         27 |          5 |        164 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\build.gradle                                                        | Gradle         |         70 |          0 |         12 |         82 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\AndroidManifest.xml                                        | XML            |         31 |          6 |          5 |         42 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\drawable\launch_background.xml                         | XML            |          9 |          2 |          1 |         12 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\values-night\styles.xml                                | XML            |          9 |          9 |          1 |         19 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\values\strings.xml                                     | XML            |          6 |          0 |          0 |          6 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\app\src\main\res\values\styles.xml                                      | XML            |          9 |          9 |          1 |         19 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\build.gradle                                                            | Gradle         |         28 |          0 |          4 |         32 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\gradle.properties                                                       | Properties     |          7 |          0 |          0 |          7 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\gradle\wrapper\gradle-wrapper.properties                                | Properties     |          5 |          0 |          0 |          5 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\android\settings.gradle                                                         | Gradle         |         21 |          0 |          4 |         25 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firebase.json                                                                   | JSON           |          9 |          0 |          1 |         10 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firestore.indexes.json                                                          | JSON           |        134 |          0 |          0 |        134 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\firestore.rules                                                                 | Firebase Rules |        114 |         93 |         38 |        245 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\l10n.yaml                                                                       | YAML           |          4 |          0 |          1 |          5 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\constants\app_constants.dart                                           | Dart           |         47 |          7 |          8 |         62 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\constants\firebase_constants.dart                                      | Dart           |         50 |         12 |         10 |         72 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\errors\exceptions.dart                                                 | Dart           |        128 |         56 |         39 |        223 |
| e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\errors\failures.dart                                                   | Dart           |         79 |         45 |         33 |        157 |
